iter	Logloss
0	0.6786035859
1	0.6651039782
2	0.654158864
3	0.6431828599
4	0.6326582391
5	0.6238595897
6	0.6156621352
7	0.6077067208
8	0.5998962041
9	0.5921933048
10	0.5829541983
11	0.5770805633
12	0.571656914
13	0.5669655792
14	0.5623691895
15	0.5555921279
16	0.5508555678
17	0.546701518
18	0.5432580102
19	0.5398901858
20	0.5366232323
21	0.5335203027
22	0.5307291382
23	0.5283543769
24	0.5249821436
25	0.5205692458
26	0.5184865803
27	0.5151990718
28	0.5124157182
29	0.5108475714
30	0.5093599137
31	0.5075890273
32	0.505493138
33	0.5034632542
34	0.5017556063
35	0.4997193052
36	0.4967553035
37	0.4951305839
38	0.4926336896
39	0.4916136522
40	0.4892891373
41	0.4873392522
42	0.4861865513
43	0.4835771587
44	0.4816973708
45	0.4796453268
46	0.478627849
47	0.4759721225
48	0.4744375409
49	0.4733103739
50	0.4710138614
51	0.4699212736
52	0.4685218755
53	0.4673652236
54	0.4651484055
55	0.4645945788
56	0.463850425
57	0.4615189485
58	0.460696026
59	0.4595037033
60	0.4588061001
61	0.4582856083
62	0.4569468067
63	0.4563723608
64	0.4558248177
65	0.4545228733
66	0.4534578878
67	0.4521371525
68	0.4512669271
69	0.4506161895
70	0.4501490046
71	0.4497214473
72	0.4487299412
73	0.4469038814
74	0.446179503
75	0.4453512301
76	0.4448676192
77	0.4445563182
78	0.4440492861
79	0.4434535837
80	0.4430929852
81	0.442301734
82	0.4417099904
83	0.4396764939
84	0.4388850263
85	0.4385284395
86	0.4381931721
87	0.4379411039
88	0.437745317
89	0.4367968712
90	0.4365083112
91	0.4362078457
92	0.4353548324
93	0.4349609783
94	0.4345987627
95	0.4342108156
96	0.4331447481
97	0.4324954964
98	0.4320316697
99	0.4317092197
100	0.4310763208
101	0.4305037449
102	0.4301151771
103	0.4297973156
104	0.4294793152
105	0.4292248426
106	0.4289329438
107	0.4284459208
108	0.428062393
109	0.4265483277
110	0.4256926211
111	0.4249376238
112	0.4247583833
113	0.4243743784
114	0.4236015025
115	0.4233878886
116	0.4227783263
117	0.4224929961
118	0.4222945833
119	0.422070849
120	0.4219318813
121	0.4216920657
122	0.4210866381
123	0.4206532835
124	0.4202028453
125	0.4194833115
126	0.419285903
127	0.4189066718
128	0.4184450076
129	0.4179455099
130	0.4175428595
131	0.4173511277
132	0.4172250355
133	0.4169032982
134	0.4164324308
135	0.4161342921
136	0.415065646
137	0.4146855816
138	0.4142597158
139	0.4138901549
140	0.4136817257
141	0.4132262654
142	0.4131175553
143	0.4129636818
144	0.4126111149
145	0.4121734862
146	0.4119155776
147	0.4115493858
148	0.4113838437
149	0.4096521593
150	0.4093440394
151	0.4090874367
152	0.4086003363
153	0.4084057492
154	0.4082101757
155	0.4080667301
156	0.4071631621
157	0.4061896968
158	0.4060730508
159	0.4058927012
160	0.4055726394
161	0.4052315702
162	0.4049156298
163	0.4045759231
164	0.4041078509
165	0.4039705219
166	0.4037636492
167	0.4035778934
168	0.4032675439
169	0.4030431574
170	0.4023841912
171	0.4010662183
172	0.400885204
173	0.4002141119
174	0.3997446363
175	0.3994271475
176	0.3992472509
177	0.3989854452
178	0.3988342648
179	0.3986756923
180	0.3983519221
181	0.3980508391
182	0.3976900828
183	0.3974080232
184	0.3970038351
185	0.3967744912
186	0.3966912151
187	0.396425858
188	0.3960784304
189	0.395683623
190	0.3955968247
191	0.3953169359
192	0.3950161925
193	0.3948795524
194	0.3938056407
195	0.393674803
196	0.3935095739
197	0.3927950452
198	0.3926859619
199	0.3924878294
200	0.3920099232
201	0.3918897856
202	0.3915511829
203	0.391445571
204	0.3905577502
205	0.3900764329
206	0.3900036963
207	0.3897718183
208	0.389643335
209	0.3893924702
210	0.3887568712
211	0.3886841068
212	0.3877693383
213	0.3875103714
214	0.3866736639
215	0.3864462228
216	0.3863277725
217	0.3858717756
218	0.3852075593
219	0.3850516454
220	0.3848811642
221	0.3846778974
