modelo,accuracy_score,balanced_accuracy_score,average_precision_score,brier_score_loss,f1_score,log_loss,precision_score,recall_score,jaccard_score,roc_auc_score_macro,roc_auc_score_micro,roc_auc_score_weighted,roc_auc_score_samples,kaggle_score
prueba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF_NOcity_TDummies_MinMax_SVSMOTE,0.8489458813301456,0.8489333792875138,0.7964915391915699,0.15105411866985438,0.8499244223709782,5.217285949131323,0.8475452196382429,0.8523170203551321,0.7390161472024033,0.8489333792875137,0.8489333792875137,0.8489333792875137,0.8489333792875137,0.68532
Logistic_NOcity_TDummies_SMOTE,0.8146055205390133,0.8147001603105535,0.7629375186025292,0.18539447946098675,0.8103179897709584,6.403362077269782,0.8327239488117002,0.7890861844954525,0.6811214953271028,0.8147001603105535,0.8147001603105535,0.8147001603105535,0.8147001603105535,0.67982
NN_NOcity_TDummies_SMOTE,0.7967833079765269,0.7971571708550728,0.7604165367190785,0.20321669202347314,0.7746444926488311,7.018896378057536,0.8733695652173913,0.6959722823733218,0.6321793863099922,0.7971571708550729,0.7971571708550729,0.7971571708550729,0.7971571708550729,0.64601
RF_NOcity_TDummies_SVSMOTE,0.8289502282112584,0.8289246041553766,0.7723687698266132,0.1710497717887416,0.8306434258661501,5.907920725613177,0.825491873396065,0.8358596795149416,0.7103422892896577,0.8289246041553766,0.8289246041553766,0.8289246041553766,0.8289246041553766,0.70534
RF_city_TDummies_MinMax_SMOTE,0.8690424136423262,0.869039397791044,0.8205122715298464,0.13095758635767382,0.8686115376178987,4.523166712065647,0.8695652173913043,0.8676599474145487,0.7677394338891043,0.869039397791044,0.869039397791044,0.869039397791044,0.869039397791044,0.68332
Stacking_rf_log_city_NDrop_TDummies_MinMax_BSMOTE,0.9172366621067032,0.9172216646899614,0.8824771762147292,0.08276333789329686,0.9178547182620503,2.858578603709699,0.9153689911983751,0.9203539823008849,0.848180677540778,0.9172216646899614,0.9172216646899614,0.9172216646899614,0.9172216646899614,0.62167
XGB_city_NMediaModa_Mapping_SMOTE,0.8261915172715347,0.8261529260790494,0.7726552722511836,0.17380848272846525,0.822742474916388,6.0031949037678185,0.8374943259192011,0.8085013146362839,0.6988636363636364,0.8261529260790494,0.8261529260790494,0.8261529260790494,0.8261529260790494,0.67929
XGB_city_NMediaModa_Mapping_MinMax_SMOTE,0.819851333624836,0.8197692159444963,0.7697572187612713,0.18014866637516397,0.8124715521165226,6.222171669822055,0.8451704545454546,0.7822085889570553,0.6841701801456497,0.8197692159444963,0.8197692159444963,0.8197692159444963,0.8197692159444963,0.68474
Logistic_city_NDrop_Mapping_SMOTE,0.8907236522583779,0.890747156694576,0.8451796962228316,0.10927634774162215,0.8911465892597968,3.77431794101337,0.8847262247838616,0.8976608187134503,0.8036649214659686,0.8907471566945759,0.8907471566945759,0.8907471566945759,0.8907471566945759,0.66499
Logistic_NOcity_NDrop_Mapping_SMOTE,0.8815280464216635,0.8816092018589463,0.8279442144762128,0.11847195357833655,0.8785324739712445,4.09192619188666,0.8729064039408867,0.8842315369261478,0.7833775419982316,0.8816092018589463,0.8816092018589463,0.8816092018589463,0.8816092018589463,0.658
Logistic_NOcity_NModa_TDummies_SMOTE,0.8815280464216635,0.8816092018589463,0.8279442144762128,0.11847195357833655,0.8785324739712445,4.09192619188666,0.8729064039408867,0.8842315369261478,0.7833775419982316,0.8816092018589463,0.8816092018589463,0.8816092018589463,0.8816092018589463,0.66901
NBMultinomial_Numeric_enrollmentID,0.5234833659491194,0.514346123283006,0.25545827387367814,0.4765166340508806,0.3421882035119316,16.458581826549892,0.2611683848797251,0.4960835509138381,0.20640956002172733,0.514346123283006,0.514346123283006,0.514346123283006,0.514346123283006,0.54329
Logistic_2_Numeric,0.7710371819960861,0.6240566466114201,0.35637478144941803,0.22896281800391388,0.4188741721854305,7.908144864038359,0.5723981900452488,0.3302872062663185,0.2649214659685864,0.6240566466114201,0.6240566466114201,0.6240566466114201,0.6240566466114201,0.63463
