modelo,accuracy_score,balanced_accuracy_score,average_precision_score,brier_score_loss,f1_score,log_loss,precision_score,recall_score,jaccard_score,roc_auc_score_macro,roc_auc_score_micro,roc_auc_score_weighted,roc_auc_score_samples,kaggle_score
RF_city_NDrop_TDummies_MinMax_SVSMOTE,0.917578659370725,0.9175620322869662,0.8828110417406068,0.08242134062927496,0.9182219205972174,2.846766436679977,0.915426251691475,0.9210347174948944,0.8488080301129235,0.917562032286966,0.917562032286966,0.917562032286966,0.917562032286966,0.62027
Stacking_rf_log_city_NDrop_TDummies_MinMax_BSMOTE,0.9172366621067032,0.9172216646899614,0.8824771762147292,0.08276333789329686,0.9178547182620505,2.8585786037096987,0.9153689911983752,0.9203539823008848,0.848180677540778,0.9172216646899614,0.9172216646899614,0.9172216646899614,0.9172216646899614,0.62167
RF_NOcity_TDummies_SVSMOTE,0.8359052379917409,0.8358957701746788,0.7813519422373656,0.16409476200825907,0.8368273179165766,5.6676986794992175,0.8352027610008628,0.8384582070160242,0.7194351542177629,0.8358957701746788,0.8358957701746788,0.8358957701746788,0.8358957701746788,0.705
RF_NOcity_TDummies_MinMax_SVSMOTE,0.8489458813301456,0.8489333792875138,0.7964915391915699,0.15105411866985438,0.8499244223709782,5.217285949131323,0.8475452196382429,0.8523170203551321,0.7390161472024033,0.8489333792875137,0.8489333792875137,0.8489333792875137,0.8489333792875137,0.6853199999999999
RF_conpred_city_TDummies_SVSMOTE,0.8634416279900036,0.8635194104064736,0.8085064792109695,0.13655837200999646,0.8649602824360105,4.716620165977652,0.8512856150104239,0.8790814495873699,0.7620528771384136,0.8635194104064735,0.8635194104064735,0.8635194104064735,0.8635194104064735,0.7377100000000001
XGB_NOcity_gender_TDummies_SMOTE,0.8137361443164529,0.813562548703495,0.7479801418123688,0.18626385568354706,0.8226040157317326,6.4334186383533165,0.7878667724028549,0.8605456907752274,0.6986638537271449,0.8135625487034949,0.8135625487034949,0.8135625487034949,0.8135625487034949,0.7388899999999999
RF_NOcity_gender_TDummies_SVSMOTE,0.8385133666594219,0.8384718118720509,0.7824360645673467,0.16148663334057814,0.8407970859224342,5.577619539665507,0.8320610687022901,0.8497184928540493,0.7253234750462108,0.8384718118720508,0.8384718118720508,0.8384718118720508,0.8384718118720508,0.68508
RF_city_TDummies_MinMax_SMOTE,0.8385133666594219,0.8384718118720509,0.7824360645673467,0.16148663334057814,0.8407970859224342,5.577619539665507,0.8320610687022901,0.8497184928540493,0.7253234750462108,0.8384718118720508,0.8384718118720508,0.8384718118720508,0.8384718118720508,0.6833199999999999
NN_NOcity_TDummies_SMOTE,0.7967833079765269,0.7971571708550728,0.7604165367190785,0.20321669202347314,0.7746444926488311,7.018896378057536,0.8733695652173913,0.6959722823733218,0.6321793863099922,0.7971571708550729,0.7971571708550729,0.7971571708550729,0.7971571708550729,0.6460100000000001
XGB_city_Mapping_NMediaModa_TDummies_MinMax_SMOTE,0.8198513336248359,0.8197692159444963,0.7697572187612713,0.180148666375164,0.8124715521165226,6.222171669822055,0.8451704545454546,0.7822085889570553,0.6841701801456497,0.8197692159444963,0.8197692159444963,0.8197692159444963,0.8197692159444963,0.68474
XGB_city_Mapping_NMediaModa_TDummies_SMOTE,0.8261915172715347,0.8261529260790494,0.7726552722511836,0.17380848272846525,0.822742474916388,6.0031949037678185,0.8374943259192011,0.8085013146362839,0.6988636363636364,0.8261529260790494,0.8261529260790494,0.8261529260790494,0.8261529260790494,0.67929
Logistic_NOcity_Mapping_NDrop_TDummies_SMOTE,0.7799806576402321,0.77981466710107,0.7072684639285955,0.2200193423597679,0.7732934728450424,7.5992874117484925,0.7721393034825871,0.7744510978043913,0.6303818034118602,0.7798146671010701,0.7798146671010701,0.7798146671010701,0.7798146671010701,0.6579999999999999
Logistic_city_Mapping_NDrop_TDummies_SMOTE,0.8907236522583779,0.890747156694576,0.8451796962228316,0.10927634774162216,0.8911465892597968,3.77431794101337,0.8847262247838616,0.8976608187134503,0.8036649214659686,0.8907471566945759,0.8907471566945759,0.8907471566945759,0.8907471566945759,0.66499
XGB_conpred_NOcity_TDummies_SMOTE,0.8328840970350404,0.8325563822366892,0.7712759709040535,0.16711590296495954,0.8404255319148937,5.7720612787406775,0.8101223949718822,0.8730837789661319,0.7247706422018348,0.8325563822366892,0.8325563822366892,0.8325563822366892,0.8325563822366892,0.74185
XGB_NOcity_TDummies_SMOTE,0.8141708324277331,0.8139779692031409,0.7475802351835461,0.1858291675722669,0.8238928939237898,6.418406954541518,0.7855459544383346,0.8661758336942399,0.7005253940455342,0.8139779692031409,0.8139779692031409,0.8139779692031409,0.8139779692031409,0.73397
XGB_city_gender_TDummies_SMOTE,0.8229121119370354,0.8229886982577055,0.7582335811042278,0.17708788806296458,0.8286077020736352,6.1164839274658345,0.8011456628477905,0.8580192813321648,0.7073699421965318,0.8229886982577055,0.8229886982577055,0.8229886982577055,0.8229886982577055,0.74151
XGB_NOcity_gender_NDrop_TDummies_SMOTE,0.8511259382819016,0.8511876937288879,0.8038599240129974,0.14887406171809842,0.8494306199915648,5.141981279638009,0.8628963153384748,0.8363787375415282,0.7382697947214076,0.8511876937288879,0.8511876937288879,0.8511876937288879,0.8511876937288879,0.66389
Stacking_XGB_log_city_gender_TDummies_SMOTE,0.8506777437691299,0.8506450053763194,0.8014540163469948,0.14932225623087014,0.8481209695352456,5.157461861331986,0.8609480812641084,0.8356704645048203,0.7362934362934362,0.8506450053763193,0.8506450053763193,0.8506450053763193,0.8506450053763193,0.73225
